label,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,branch,mask,exit
giga5_union::trend_t008__vwap_003__hold8_t35_s12,maker_optimistic,9,0.08403986723936799,0.6666666666666666,0.009337763026596443,-0.012596399999999926,0.020005295817353046,5.777777777777778,5,0.07433152464423184,0.8,0.014866304928846368,giga5_union,trend_t008,vwap_003__hold8_t35_s12
giga5_union::trend_t008__vwap_0025__hold8_t30_s10,maker_optimistic,7,0.08109844603200912,0.7142857142857143,0.011585492290287018,-0.01059700000000011,0.019596003138642838,5.857142857142857,3,0.06939070343687312,1.0,0.023130234478957706,giga5_union,trend_t008,vwap_0025__hold8_t30_s10
giga5_union::base__hold12_t35_s12,maker_optimistic,35,0.08105269191581392,0.45714285714285713,0.0023157911975946834,-0.040987580380391936,0.013860031710602804,6.514285714285714,12,0.06521392982378059,0.5,0.005434494151981716,giga5_union,base,hold12_t35_s12
giga5_union::trend_t009__vwap_003__shared_default,maker_optimistic,9,0.07964640164907584,0.6666666666666666,0.008849600183230649,-0.015595500000000045,0.021385311760046426,7.555555555555555,5,0.08405458985469931,0.8,0.01681091797093986,giga5_union,trend_t009,vwap_003__shared_default
giga5_union::base__shared_default,maker_optimistic,35,0.07936452969098774,0.45714285714285713,0.0022675579911710783,-0.04686855623112935,0.013860031710602804,6.8,12,0.07621062982378045,0.5,0.006350885818648371,giga5_union,base,shared_default
giga5_union::trend_t008__vwap_003__shared_default,maker_optimistic,9,0.079164704616303,0.6666666666666666,0.008796078290700332,-0.015595499999999991,0.021553315830158546,7.555555555555555,5,0.08357289282192647,0.8,0.016714578564385293,giga5_union,trend_t008,vwap_003__shared_default
giga5_union::vwap_0025__hold12_t35_s12,maker_optimistic,23,0.07909186631770507,0.4782608695652174,0.0034387767964219594,-0.056469268033811554,0.013938528426506459,6.956521739130435,8,0.09994927883621951,0.625,0.012493659854527439,giga5_union,vwap_0025,hold12_t35_s12
giga5_union::trend_t008__vwap_003__hold8_t30_s10,maker_optimistic,9,0.07804166723936787,0.6666666666666666,0.008671296359929763,-0.01059700000000011,0.017082196139069392,5.555555555555555,5,0.06633392464423186,0.8,0.013266784928846373,giga5_union,trend_t008,vwap_003__hold8_t30_s10
coq3_momaccel::trend_t008__hold12_t35_s12,maker_optimistic,5,0.07797569999999987,0.6,0.015595139999999974,-0.012596399999999976,0.04474253011598314,2.2,2,0.021793099999999888,0.5,0.010896549999999944,coq3_momaccel,trend_t008,hold12_t35_s12
coq3_momaccel::trend_t008__hold8_t35_s12,maker_optimistic,5,0.07797569999999987,0.6,0.015595139999999974,-0.012596399999999976,0.04474253011598314,2.2,2,0.021793099999999888,0.5,0.010896549999999944,coq3_momaccel,trend_t008,hold8_t35_s12
coq3_momaccel::trend_t009__hold12_t35_s12,maker_optimistic,5,0.07797569999999987,0.6,0.015595139999999974,-0.012596399999999976,0.04474253011598314,2.2,2,0.021793099999999888,0.5,0.010896549999999944,coq3_momaccel,trend_t009,hold12_t35_s12
coq3_momaccel::trend_t009__hold8_t35_s12,maker_optimistic,5,0.07797569999999987,0.6,0.015595139999999974,-0.012596399999999976,0.04474253011598314,2.2,2,0.021793099999999888,0.5,0.010896549999999944,coq3_momaccel,trend_t009,hold8_t35_s12
