pair,interval,strategy,trades_full,net_full,win_full,pf_full,dd_full,mfe_full,trades_recent,net_recent,win_recent,pf_recent,score,verdict,cost_model,side_cost_pct
HYPEUSD,3,freqai_mtf_triple_confluence,4,-0.003915195170799968,0.25,0.4080946689353873,-0.0018391270373078032,0.002981391357928076,3,0.0008594971001819607,0.3333333333333333,1.4671507800049626,-0.009016642738875483,KILL,maker_optimistic,0.0003
DOGUSD,5,freqai_mtf_momentum_breakout_trail,7,-0.022607937454834026,0.2857142857142857,0.5446181086449313,-0.027291565473170906,0.016555092980749482,4,0.013169796995709526,0.5,1.9496282496477422,-0.009733472668622362,KILL,maker_optimistic,0.0003
GIGAUSD,3,freqai_mtf_momentum_accel,18,-0.007644822909184779,0.3888888888888889,0.9171370238838409,-0.028840889846028464,0.00979881542665315,8,-0.0006274282474055815,0.375,0.9868786294161581,-0.010075194325455004,KILL,maker_optimistic,0.0003
DOGUSD,5,adaptive_higher_low,1,-0.01029699999999989,0.0,0.0,0.0,0.008999625693687285,0,0.0,0.0,0.0,-0.01029699999999989,KILL,maker_optimistic,0.0003
HYPEUSD,5,adaptive_volume_spike_leader,1,-0.01029699999999989,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.01029699999999989,KILL,maker_optimistic,0.0003
DOGUSD,3,adaptive_volume_spike_leader,1,-0.010297,0.0,0.0,0.0,0.0006343891225155662,0,0.0,0.0,0.0,-0.010297,KILL,maker_optimistic,0.0003
GIGAUSD,3,freqai_mtf_quiet_then_burst,9,0.005711533987843742,0.4444444444444444,1.1389767627508414,-0.030286777780812787,0.007458381632925621,2,-0.012014136929582975,0.5,0.022954935624826714,-0.010835603896802938,KILL,maker_optimistic,0.0003
GIGAUSD,3,adaptive_higher_low,7,-0.011801617226852135,0.2857142857142857,0.7707756195619664,-0.020487971791000006,0.01000248614183054,2,0.0016947827731477183,0.5,1.164589955632487,-0.012158059121834545,KILL,maker_optimistic,0.0003
GIGAUSD,5,adaptive_volume_spike_leader,5,0.0007367286260822059,0.4,1.0238492967557609,-0.02048797179100006,0.013518770799389835,1,-0.010297,0.0,0.0,-0.014518808494782492,KILL,maker_optimistic,0.0003
HYPEUSD,5,adaptive_regime_switch,4,0.003594848343321355,0.25,1.1491839395840298,-0.023918959170546122,0.012611401157806068,2,-0.013799751656678794,0.0,0.0,-0.016114288469131915,KILL,maker_optimistic,0.0003
COQUSD,3,adaptive_consensus2,3,0.009097000000000133,0.3333333333333333,1.441730601145976,-0.020487971790999697,0.04440099557535119,2,-0.02059399999999978,0.0,0.0,-0.01951906752025557,KILL,maker_optimistic,0.0003
COQUSD,5,adaptive_volume_spike_leader,3,0.009097000000000244,0.3333333333333333,1.441730601145979,-0.02048797179099991,0.014754507942488967,2,-0.02059399999999989,0.0,0.0,-0.01951906752025561,KILL,maker_optimistic,0.0003
COQUSD,5,adaptive_consensus2,3,0.009097000000000244,0.3333333333333333,1.441730601145979,-0.02048797179099991,0.014754507942488967,2,-0.02059399999999989,0.0,0.0,-0.01951906752025561,KILL,maker_optimistic,0.0003
DOGUSD,3,adaptive_consensus2,3,-0.013718366537086246,0.3333333333333333,0.11532076692854747,-0.005209599481778792,0.01027214066447398,1,0.0017882329446925471,1.0,inf,-0.024089170915634853,KILL,maker_optimistic,0.0003
DOGUSD,5,adaptive_quiet_burst,3,-0.0172331852589529,0.3333333333333333,0.16319387885048636,-0.010297000000000035,0.008564519163440476,1,0.0033608147410468803,1.0,inf,-0.024809783483721468,KILL,maker_optimistic,0.0003
COQUSD,3,freqai_mtf_volume_spike_trend,6,0.007186749553277916,0.3333333333333333,1.1461149107315545,-0.03643745487466605,0.02701683193680097,5,-0.022504250446721996,0.2,0.5424626222568786,-0.025167604250928146,KILL,maker_optimistic,0.0003
DOGUSD,5,adaptive_regime_switch,4,-0.007372768967657595,0.25,0.6933957510114259,-0.010296999999999947,0.00654771030602469,1,-0.010297,0.0,0.0,-0.02570743718896027,KILL,maker_optimistic,0.0003
GIGAUSD,5,freqai_mtf_rsi_thrust,3,-0.016269404161608714,0.3333333333333333,0.338448482417269,-0.012296400000000056,0.012303145360411216,2,-0.003973004161608618,0.5,0.676896964834538,-0.030119097236675454,KILL,maker_optimistic,0.0003
DOGUSD,3,adaptive_quiet_burst,10,-0.036788163458499556,0.2,0.501512348359777,-0.04569518189414127,0.006788534845104088,3,0.009664695427971215,0.3333333333333333,1.536126176812812,-0.03151172056436577,KILL,maker_optimistic,0.0003
DOGUSD,3,adaptive_regime_switch,8,-0.013005101924319695,0.375,0.5657745168370216,-0.010296999999999923,0.004463868203945814,2,-0.008756292107993446,0.0,0.0,-0.032075584086236474,KILL,maker_optimistic,0.0003
DOGUSD,3,freqai_mtf_quiet_then_burst,22,-0.03171031316692652,0.4090909090909091,0.6957307004790566,-0.05105922576651244,0.010078020471768161,8,0.0042270689360015545,0.375,1.1836275964954621,-0.03221862435391189,KILL,maker_optimistic,0.0003
GIGAUSD,5,adaptive_higher_low,5,-0.013496399999999742,0.2,0.6723220355443396,-0.020487971791000006,0.010105060849190783,1,-0.010297,0.0,0.0,-0.03249465003553663,KILL,maker_optimistic,0.0003
GIGAUSD,3,adaptive_quiet_burst,6,-0.017825527491568294,0.16666666666666666,0.586530883969531,-0.032439292861812664,0.0053691913381745575,1,-0.010297,0.0,0.0,-0.03838049159795316,KILL,maker_optimistic,0.0003
GIGAUSD,5,adaptive_consensus2,6,-0.019706466094181918,0.16666666666666666,0.6010632193843846,-0.020487971791000047,0.008935464867085222,1,-0.010297,0.0,0.0,-0.040125417718909005,KILL,maker_optimistic,0.0003
GIGAUSD,3,adaptive_regime_switch,7,-0.024289550249554703,0.2857142857142857,0.5282208361745216,-0.030574007145468037,0.009742032732426464,3,-0.008043817686272825,0.3333333333333333,0.6094096491078533,-0.04421866229112065,KILL,maker_optimistic,0.0003
HYPEUSD,3,adaptive_regime_switch,7,-0.026621138746662054,0.2857142857142857,0.12607508628398179,-0.016592763779433403,0.005436106643231765,3,0.00033922769641459016,0.6666666666666666,1.096888444083874,-0.04546278546223332,KILL,maker_optimistic,0.0003
HYPEUSD,3,freqai_mtf_volume_spike_trend,22,-0.010731716109830147,0.5454545454545454,0.8792530316786895,-0.03624158402786814,0.0077371632777938045,11,-0.023375924989573527,0.36363636363636365,0.5524630491078124,-0.0482719299716618,KILL,maker_optimistic,0.0003
DOGUSD,3,freqai_mtf_rsi_thrust,6,-0.02038399177132244,0.5,0.20762260587058284,-0.022196161349133086,0.0059277203561670655,3,-0.011548623998991814,0.3333333333333333,0.1400046480965269,-0.051432834671615774,KILL,maker_optimistic,0.0003
HYPEUSD,3,adaptive_higher_low,8,-0.030891747962319305,0.25,0.256372125944595,-0.030125120306350804,0.006840577916364027,4,-0.006695753956347805,0.25,0.5957284980850786,-0.05670173739679562,KILL,maker_optimistic,0.0003
HYPEUSD,3,freqai_mtf_quiet_then_burst,17,-0.03460866048131772,0.5294117647058824,0.5267958619251919,-0.03314566792620902,0.006249800429091061,5,-0.008553135752325969,0.4,0.39808699233153355,-0.05730198614684087,KILL,maker_optimistic,0.0003
DOGUSD,3,freqai_mtf_momentum_accel,17,-0.027954390984584965,0.5294117647058824,0.5532402998881796,-0.041759492798944295,0.009506919338646676,10,-0.016651780027594154,0.5,0.607162431209084,-0.0612209072410454,KILL,maker_optimistic,0.0003
COQUSD,5,freqai_mtf_momentum_breakout_trail,4,-0.014932992107055676,0.25,0.6745667656706077,-0.030357047679750067,0.013551610647795476,2,-0.030591000000000035,0.0,0.0,-0.06404831641862195,KILL,maker_optimistic,0.0003
COQUSD,5,freqai_mtf_volume_spike_trend,4,-0.007198199999999599,0.25,0.8048697179662435,-0.03643745487466593,0.011724538545500096,3,-0.03688919999999973,0.0,0.0,-0.06424637145429253,KILL,maker_optimistic,0.0003
GIGAUSD,5,adaptive_quiet_burst,4,-0.028954271373917706,0.25,0.06269556265845377,-0.030574007145468034,0.0057211481738692616,1,-0.010297,0.0,0.0,-0.06806734833176131,KILL,maker_optimistic,0.0003
COQUSD,3,freqai_mtf_quiet_then_burst,6,-0.03179099999999968,0.16666666666666666,0.48292183077974404,-0.04828580535454522,0.0068996177979916045,5,-0.019494599999999696,0.2,0.6036522884746803,-0.06860445718143927,KILL,maker_optimistic,0.0003
GIGAUSD,5,freqai_mtf_momentum_accel,19,-0.028827407185150866,0.47368421052631576,0.7729793717182298,-0.0597925450156692,0.01026805769542673,9,-0.024768528460763495,0.3333333333333333,0.6235754137919293,-0.07054495697226244,KILL,maker_optimistic,0.0003
HYPEUSD,5,freqai_mtf_triple_confluence,5,-0.032996391149089255,0.0,0.0,-0.017593990880848506,0.003409203671765404,4,-0.017700891149089237,0.0,0.0,-0.08704552199571253,KILL,maker_optimistic,0.0003
HYPEUSD,3,freqai_mtf_momentum_breakout_trail,8,-0.029045087495687683,0.375,0.533135667766938,-0.034501384486256316,0.006419477335996265,3,-0.034865085421432074,0.0,0.0,-0.08895437608655093,KILL,maker_optimistic,0.0003
HYPEUSD,3,freqai_mtf_rsi_thrust,32,-0.05874269889282435,0.375,0.5047157493749039,-0.06737692284812703,0.005172861402151084,20,-0.011209002392738254,0.45,0.7559274005838981,-0.0905281227887115,KILL,maker_optimistic,0.0003
HYPEUSD,3,freqai_mtf_higher_low_structure,67,-0.030681876455203372,0.44776119402985076,0.8527088513902188,-0.06271927257474064,0.006246007749988923,35,-0.04207515031067366,0.34285714285714286,0.6163324527524893,-0.09890477002210935,KILL,maker_optimistic,0.0003
COQUSD,5,freqai_mtf_adaptive_union,13,-0.023849151283981795,0.23076923076923078,0.7979884607015947,-0.059988463777583496,0.018866348313991664,4,-0.04918559999999983,0.0,0.0,-0.10108388046556356,KILL,maker_optimistic,0.0003
DOGUSD,5,freqai_mtf_higher_low_structure,12,-0.05868094604709895,0.3333333333333333,0.32377141143221105,-0.0499190762204778,0.012476274869492432,7,-0.019661317145322488,0.42857142857142855,0.5765846277273589,-0.10456149576403664,KILL,maker_optimistic,0.0003
DOGUSD,5,freqai_mtf_quiet_then_burst,9,-0.0436610283279566,0.3333333333333333,0.40821394435286235,-0.04508727025991724,0.012664363467513972,6,-0.035265049953738026,0.3333333333333333,0.28302084443946707,-0.10908128681528194,KILL,maker_optimistic,0.0003
