pair,candidate,signals,fills,missed_entries,fill_rate,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,verdict,cost_model
GIGAUSD,score_filtered_breakout__5bps__quick,15,9,4,0.6,9,-0.008439686790403973,0.4444444444444444,-0.0009377429767115525,-0.02983533918625958,0.006412561610394518,4.333333333333333,2,0.0077843171757457615,0.5,0.0038921585878728807,KILL,maker_mid_passive_0.0010
DOGUSD,vwap_reclaim__10bps__quick,4,2,2,0.5,2,-0.008717343436536337,0.0,-0.004358671718268169,-0.0044445358802763365,0.002024317734793012,0.0,2,-0.008717343436536337,0.0,-0.004358671718268169,KILL,maker_mid_passive_0.0010
DOGUSD,vwap_reclaim__10bps__runner,4,2,2,0.5,2,-0.008717343436536337,0.0,-0.004358671718268169,-0.0044445358802763365,0.002024317734793012,0.0,2,-0.008717343436536337,0.0,-0.004358671718268169,KILL,maker_mid_passive_0.0010
DOGUSD,vwap_reclaim__5bps__runner,4,2,2,0.5,2,-0.009215870432093947,0.0,-0.004607935216046973,-0.004943062875834023,0.002023817734292952,0.0,2,-0.009215870432093947,0.0,-0.004607935216046973,KILL,maker_mid_passive_0.0010
GIGAUSD,hybrid_support__flat__quick,6,6,0,1.0,6,-0.010036571187167886,0.3333333333333333,-0.0016727618645279811,-0.022666896431591498,0.0074163523416291705,3.5,2,0.0022726692916026567,0.5,0.0011363346458013283,KILL,maker_mid_passive_0.0010
DOGUSD,hybrid_support__flat__quick,8,5,3,0.625,5,-0.01054917895897163,0.2,-0.0021098357917943263,-0.01942581123467125,0.00789832885258992,2.4,4,0.00044182104102827996,0.25,0.00011045526025706999,KILL,maker_mid_passive_0.0010
DOGUSD,breakout_retest__flat__runner,12,9,3,0.75,9,-0.010560226789250171,0.2222222222222222,-0.0011733585321389078,-0.052758129890326196,0.008322766563446984,3.2222222222222223,5,0.009673959304475621,0.2,0.0019347918608951242,KILL,maker_mid_passive_0.0010
DOGUSD,score_filtered_breakout__flat__runner,12,9,3,0.75,9,-0.010560226789250171,0.2222222222222222,-0.0011733585321389078,-0.052758129890326196,0.008322766563446984,3.2222222222222223,5,0.009673959304475621,0.2,0.0019347918608951242,KILL,maker_mid_passive_0.0010
COQUSD,vwap_reclaim__10bps__quick,2,1,1,0.5,1,-0.010990999999999928,0.0,-0.010990999999999928,0.0,0.005751288828639688,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,hybrid_support__10bps__quick,2,1,1,0.5,1,-0.010990999999999973,0.0,-0.010990999999999973,0.0,0.0010832521655034333,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,inside_resume__flat__quick,1,1,0,1.0,1,-0.010991000000000004,0.0,-0.010991000000000004,0.0,0.0020192354111962262,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
