construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,strategy
persistence_breakout_15,TAOUSD,3414,1772895600,186.64802071999998,3420,1772901000,189.08192331,TIME_LIMIT,0.009940066434196211,0.017958825746287956,6,63.2872793091857,0.01130047175426024,0.002669706509476826,0.03812449044714798,1.5983613715574083,persistence_breakout_15
persistence_breakout_15,TAOUSD,3422,1772902800,190.6782759,3425,1772905500,187.80612716577346,STOP_LOSS,-0.01816280000000004,0.006613360090697225,3,53.181945827264904,0.014587395530913516,0.008786601232188593,0.03444936829883232,1.022623677686605,persistence_breakout_15
persistence_breakout_15,SUIUSD,3478,1772954100,0.8974735699999999,3482,1772957700,0.88594503,TREND_LOST,-0.015945548198149077,0.0,4,59.721851105404355,0.0019038781849066671,0.0021231422505308,0.009596662040769945,0.8836662749706229,persistence_breakout_15
persistence_breakout_15,SUIUSD,3486,1772961300,0.9027899999999999,3492,1772966700,0.90040008,TIME_LIMIT,-0.005747260160169944,0.008650959802390473,6,21.174750586156105,0.004392612600442057,-0.0007783831869232002,0.016230001348486144,1.133689839572186,persistence_breakout_15
persistence_breakout_15,HYPEUSD,3499,1772982900,30.805200999999997,3500,1772983800,30.341188418377197,STOP_LOSS,-0.0181628,0.0,1,88.5472368824086,0.003996202691834899,0.007469957778499527,0.009729905887909627,1.128526645768023,persistence_breakout_15
persistence_breakout_15,TAOUSD,3526,1772996400,178.91442064999998,3531,1773000900,184.60237845409446,TAKE_PROFIT,0.028691500000000036,0.03960149955637468,5,73.4449957376015,0.004758498705444313,0.004651787137531773,0.01750506882626773,1.0019341346711435,persistence_breakout_15
persistence_breakout_15,TAOUSD,3533,1773002700,188.23963949,3533,1773002700,185.40422344829003,STOP_LOSS,-0.01816280000000002,0.0014049140272287936,0,115.71245129244198,0.01764839260270588,0.016350907409179292,0.0323608961540574,1.6164675680200644,persistence_breakout_15
persistence_breakout_15,TAOUSD,3549,1773017100,186.89699013999999,3550,1773018000,184.0817981569192,STOP_LOSS,-0.018162799999999937,0.0006442578872448804,1,48.56912549639961,0.006198153821804466,0.009830637795599992,-0.0002581970251591643,0.9423396295604187,persistence_breakout_15
persistence_breakout_15,TAOUSD,3557,1773024300,188.80468571999998,3562,1773028800,194.80706988606735,TAKE_PROFIT,0.028691499999999967,0.03546158960233257,5,67.39158040481654,0.008320696638186768,0.0024589985372466317,0.014299780895464477,1.0511679287305127,persistence_breakout_15
persistence_breakout_15,TAOUSD,3565,1773031500,199.51990023,3565,1773031500,196.51457187681552,STOP_LOSS,-0.018162800000000118,0.00175721704750174,0,89.47120731305439,0.022746296134294894,0.014025394891466932,0.029882068609480377,1.0836424472220871,persistence_breakout_15
persistence_breakout_15,SUIUSD,3568,1773035100,0.9150278199999999,3572,1773038700,0.901244938952904,STOP_LOSS,-0.018162799999999903,0.0039039031622011625,4,85.85173519861945,0.007534735360040631,0.004046369203849559,0.016793736002500614,0.8573120189461236,persistence_breakout_15
persistence_breakout_15,HYPEUSD,3583,1773058500,31.938703999999998,3588,1773063000,32.954083308216,TAKE_PROFIT,0.02869150000000005,0.03729944709090278,5,139.10115115298555,0.008511562623842613,0.002510985561832966,0.0368409233885431,1.365010799136067,persistence_breakout_15
persistence_breakout_15,SUIUSD,3611,1773073800,0.9386006699999999,3617,1773079200,0.92940987,TIME_LIMIT,-0.012892023694165852,0.00383478311388817,6,30.842379992569303,0.006927065061196029,0.009923175416133254,0.021835857821744353,1.1139240506329118,persistence_breakout_15
persistence_breakout_15,SUIUSD,3620,1773081900,0.9473276399999999,3622,1773083700,0.9774446066670598,TAKE_PROFIT,0.02869149999999987,0.03839469943049493,2,60.54882326288214,0.006403924989954863,0.0030665115787247687,0.030009293156199473,0.8512756689483502,persistence_breakout_15
persistence_breakout_15,HYPEUSD,3622,1773093600,35.439522999999994,3622,1773093600,34.90570455295559,STOP_LOSS,-0.018162800000000097,0.0,0,94.70241489495906,0.014855908663664564,0.014418999151823524,0.07850739993376725,0.7848101265822758,persistence_breakout_15
persistence_breakout_15,XRPUSD,3653,1773110700,1.392673947,3657,1773114300,1.3716963778711284,STOP_LOSS,-0.018162800000000007,0.0,4,73.97471182583118,0.003593102278364961,0.0029053043378207653,0.00871755164250365,1.404879657105167,persistence_breakout_15
persistence_breakout_15,XDGUSD,3675,1773130500,0.09321156285,3681,1773135900,0.09493997088,TIME_LIMIT,0.015442850019384724,0.025087414892539777,6,137.77177842517514,0.004031367236196806,0.0032407551863380592,0.006603125018325962,1.2197174383829978,persistence_breakout_15
persistence_breakout_15,SUIUSD,3694,1773148500,0.9857463699999999,3695,1773149400,0.9708982695779639,STOP_LOSS,-0.018162799999999993,0.0,1,51.03588716978996,0.004711114530833724,0.004376144921636557,0.017420377141136423,1.2021521906225987,persistence_breakout_15
persistence_breakout_15,XDGUSD,3701,1773153900,0.09814571143999998,3707,1773159300,0.09911438994,TIME_LIMIT,0.006769799564214441,0.023140986260907444,6,65.56029553155447,0.012680598047157984,0.0004770704807788673,0.04972914729758886,1.888217786266204,persistence_breakout_15
persistence_breakout_15,HYPEUSD,3736,1773196200,34.927941999999994,3737,1773197100,34.401829395242395,STOP_LOSS,-0.0181628,0.0,1,112.96525095098511,0.005847425409148329,0.008610792192881866,0.00031450238274136603,1.0936708860759572,persistence_breakout_15
