pair,interval,strategy,trades_full,net_full,win_full,dd_full,avg_mfe_full,trades_recent,net_recent,win_recent,score,verdict,cost_model,side_cost_pct
COQUSD,3,red_streak_reversal,9,-0.027899999999999703,0.3333333333333333,-0.05126010693781327,0.013592925363169424,4,-0.0522760000000001,0.0,-0.11253327976727832,KILL,taker_like,0.0031
DOGUSD,3,bb_lower_bounce,13,-0.03893411612229403,0.3076923076923077,-0.0600067842036821,0.006729624138060638,7,-0.04387486522959205,0.14285714285714285,-0.11693824659601064,KILL,taker_like,0.0031
COQUSD,3,momentum_breakout,16,-0.08546340453732781,0.375,-0.09243024629608587,0.013725069730986486,5,-0.014126069505118521,0.6,-0.1204105835000832,KILL,taker_like,0.0031
HYPEUSD,1,momentum_breakout_trail,25,-0.08678463339801246,0.44,-0.13171757943460338,0.010594693045987702,7,-0.01429543772308639,0.42857142857142855,-0.1207426470714493,KILL,taker_like,0.0031
GIGAUSD,3,deep_vwap_pullback,30,-0.10417708168185247,0.3,-0.15257141468064547,0.007490201665492258,10,-0.00150140999206827,0.4,-0.12134480036774778,KILL,taker_like,0.0031
COQUSD,5,breakout_asymmetric,11,-0.10147364100008427,0.09090909090909091,-0.10456682578471595,0.011020237587836384,3,0.003078358999915598,0.3333333333333333,-0.1262492411384793,KILL,taker_like,0.0031
GIGAUSD,3,red_streak_reversal,8,-0.0676325268278547,0.0,-0.053382628195236884,0.002754274794702194,1,-0.010927438373876885,0.0,-0.1301752660586597,KILL,taker_like,0.0031
DOGUSD,1,atr_squeeze_expand,17,-0.09614176445330869,0.29411764705882354,-0.0788624579291995,0.005261798964712324,5,-0.01418572485713987,0.4,-0.13937923645834885,KILL,taker_like,0.0031
COQUSD,5,rsi_momentum_thrust,28,-0.09903336499031645,0.32142857142857145,-0.12716853280218282,0.020784312951629542,13,-0.019734449054355174,0.38461538461538464,-0.1394960714563222,KILL,taker_like,0.0031
GIGAUSD,1,volume_climax_reversal,10,-0.06749068615962972,0.3,-0.05150791975402885,0.0033096554365135366,5,-0.03248204299688018,0.4,-0.14090551932516424,KILL,taker_like,0.0031
DOGUSD,5,volume_climax_reversal,14,-0.07536485871886778,0.2857142857142857,-0.06026342040082922,0.005577337540732942,5,-0.028311709538821672,0.0,-0.14450734512604546,KILL,taker_like,0.0031
COQUSD,1,ema_fast_bounce,55,-0.07260604342708388,0.38181818181818183,-0.14073551110540544,0.013610356156575364,12,-0.04603505489075477,0.3333333333333333,-0.14812867738791421,KILL,taker_like,0.0031
DOGUSD,3,bb_squeeze_breakout,21,-0.09043337279903152,0.2857142857142857,-0.07432713870954596,0.006431252525302776,7,-0.02766089346270706,0.42857142857142855,-0.14915874830052497,KILL,taker_like,0.0031
COQUSD,3,rsi_momentum_thrust,30,-0.15042628090612076,0.3333333333333333,-0.16496710178097093,0.021831313346206988,12,0.00847333163698738,0.5,-0.1549155538879665,KILL,taker_like,0.0031
COQUSD,1,atr_squeeze_expand,22,-0.042337530162346315,0.3181818181818182,-0.09366374020518531,0.010627610529835983,6,-0.07325592407681292,0.16666666666666666,-0.1567517294912884,KILL,taker_like,0.0031
DOGUSD,3,momentum_breakout,12,-0.10115752842518033,0.25,-0.0941520518528572,0.006227361688221337,3,-0.019028742921023634,0.3333333333333333,-0.1576465455687799,KILL,taker_like,0.0031
GIGAUSD,5,momentum_breakout,11,-0.052826552909807534,0.2727272727272727,-0.07871850415001874,0.009324087663144954,5,-0.06246421685061598,0.0,-0.15786300687551888,KILL,taker_like,0.0031
