cost_model,pair,interval,strategy,trades_full,net_full,trades_recent,net_recent,score,keep
taker_like,COQUSD,5,ema_fast_bounce,218,-1.520188729722744,98,-0.8567488576544543,-2.8857927278108204,False
taker_like,COQUSD,5,red_streak_reversal,5,-0.0354380000000003,1,-0.013069000000000108,-0.06689089980606605,False
taker_like,COQUSD,5,bb_squeeze_breakout,1,-0.015062800000000154,1,-0.015062800000000154,-0.037657000000000385,False
taker_like,COQUSD,5,atr_squeeze_expand,11,-0.04245594482642501,2,0.018796935494766354,-0.021949844444070808,False
taker_like,COQUSD,5,quiet_then_burst,35,-0.28154270007051807,21,-0.18518458833241003,-0.5933933596471073,False
taker_like,COQUSD,5,higher_low_structure,63,-0.32095646512857445,27,-0.1437332780671875,-0.5616228067758807,False
taker_like,COQUSD,5,vwap_reclaim_trend,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,5,momentum_accel,96,-0.8194439402638786,46,-0.46797617939555114,-1.5693962488164341,False
taker_like,COQUSD,5,volume_spike_trend,81,-0.6799918473534855,39,-0.4267819721286741,-1.3752918670435146,False
taker_like,COQUSD,5,volume_climax_reversal,1,0.01683800000000013,0,0.0,0.01683800000000013,False
taker_like,COQUSD,5,triple_confluence,17,-0.22684936486556717,4,-0.04301321044377826,-0.34296480589280764,False
taker_like,COQUSD,5,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,5,breakout_asymmetric,11,-0.10147364100008427,3,0.003078358999915598,-0.1262492411384793,False
taker_like,COQUSD,5,breakout_scalp,60,-0.2519347450701136,25,-0.13889631419071768,-0.49223502316203144,False
taker_like,HYPEUSD,1,momentum_breakout,4,-0.031614113773164254,0,0.0,-0.04044342961864142,False
taker_like,HYPEUSD,1,momentum_breakout_trail,25,-0.08678463339801246,7,-0.01429543772308639,-0.1207426470714493,False
taker_like,HYPEUSD,1,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,HYPEUSD,1,rsi_momentum_thrust,213,-1.0725379550148744,82,-0.418743230018353,-1.817734610962039,False
taker_like,HYPEUSD,1,rsi_oversold_trend,2,-0.010928878319967916,2,-0.010928878319967916,-0.07243785032180937,False
taker_like,HYPEUSD,1,bb_lower_bounce,59,-0.3966098633207298,31,-0.20212106003722918,-0.8235775264653173,False
taker_like,HYPEUSD,1,deep_vwap_pullback,220,-1.2944647766222537,62,-0.3762619976717715,-2.0026843649678274,False
taker_like,HYPEUSD,1,ema_fast_bounce,213,-1.3801365592182604,92,-0.6329332036273196,-2.5048615545192376,False
