construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,candidate,cost_model
score_filtered_breakout__flat__quick,HYPEUSD,893,1770086400,35.89586,894,1770086700,35.75421,TREND_LOST,-0.004946137521151423,0.01042292899515443,1,13.765799937899452,0.017110038955894608,0.0102578319933462,0.02724207467110977,1.1624834874504562,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,958,1770105900,37.487449999999995,958,1770105900,37.112912887049994,STOP_LOSS,-0.010991000000000039,0.0,0,5.094220719208907,0.00179711686857302,0.007200000000000083,0.022928980182864774,0.8227424749163921,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,2574,1770597600,32.7327,2574,1770597600,32.67729,TREND_LOST,-0.002692802610233863,0.002361552820268448,0,0.6643008155354801,0.0024634415918872612,0.0024464831804282996,0.004356943743759107,0.9063180827886805,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,5489,1771550100,29.46944,5495,1771552800,29.4705,TIME_LIMIT,-0.0009640305346826236,0.0027336793641142133,6,0.7019752598147975,0.003935448280121909,0.0016983695652174153,0.006955361285993581,1.0395480225988682,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,5587,1771582500,29.429399999999994,5593,1771584300,29.45052,TIME_LIMIT,-0.00028235030275823103,0.01021427552039819,6,0.3773218237838101,0.002751071730172001,0.000680272108843523,0.0031317580011363576,0.6043165467625804,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,5653,1771603500,29.969939999999998,5658,1771605000,29.85012,TREND_LOST,-0.004998006002013923,0.012681373402816418,5,7.729728578966768,0.00817123486156696,0.005344021376085509,0.022637949013700177,1.2799999999999931,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,5687,1771613700,30.00998,5693,1771615500,29.90007,TREND_LOST,-0.004662448292201438,0.005665448627423309,6,13.620034686762544,0.0017521439141003428,0.0016666666666666904,0.0148149020060512,0.951140065146578,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,6741,1771981500,27.447419999999997,6747,1771983300,27.7722,TREND_LOST,0.010832806143528394,0.019039312255942506,6,31.532136444485946,0.0024414275822990696,0.0007291286912139837,0.0017209535073160215,0.8590604026845559,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,8026,1772391600,31.731699999999996,8028,1772392200,31.55841,TREND_LOST,-0.006461100413781738,0.0037281330656726546,2,4.215767756704689,0.005725997219281571,0.008170961659333802,0.01806597017227663,0.9780219780219805,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,8854,1772652000,32.7327,8856,1772652600,32.42754,TREND_LOST,-0.010322787304438703,0.003889077283572641,2,32.15745751357474,0.002254042409391556,0.00030581039755367325,0.007920005128462453,0.9156626506024067,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,9974,1773026400,30.860829999999996,9974,1773026400,30.552499447469994,STOP_LOSS,-0.010991000000000063,0.0,0,32.033152846793435,0.001833128703149628,0.00162179695102164,-0.007258851019048038,1.120689655172406,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,10002,1773035400,31.020989999999994,10002,1773035400,30.90906,TREND_LOST,-0.0046082020593151245,0.0009351732488230275,0,1.3838221848903824,0.0032225077778057975,0.001613423685059605,0.011620545092289996,1.177664974619303,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,10031,1773045000,30.920889999999996,10037,1773046800,31.068900000000003,TIME_LIMIT,0.0037867315591500255,0.005792524083233212,6,6.050814700752645,0.0012140215125062107,0.0009711880867595058,0.008553540235989362,0.8075117370892018,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,10042,1773048300,31.201169999999998,10048,1773050100,31.17879,TIME_LIMIT,-0.001717280794277852,0.0063725174408524096,6,8.382313267107168,0.00445523068769717,-0.0009624639076033873,0.017808417794793596,0.9633507853403273,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,10510,1773191400,34.52449,10511,1773191700,34.345620000000004,TREND_LOST,-0.006180959950458249,0.0,1,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
score_filtered_breakout__flat__quick,HYPEUSD,10527,1773196500,34.77474,10529,1773197100,34.48548,TREND_LOST,-0.009318106763702583,0.0007263893274254773,2,0.4794844716272224,0.0037540814899062313,0.005453501722158576,0.0047201055365909544,1.1685393258427303,score_filtered_breakout__flat__quick,maker_mid_passive_0.0010
